Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
Q9VS60	SMSR1_DROME	reviewed	Sphingomyelin synthase-related 1 (Ceramide phosphoethanolamine synthase) (CPE synthase) (EC 2.7.8.-)	GO:0005887; GO:0006686; GO:0007030; GO:0016021; GO:0030148; GO:0030173; GO:0030176; GO:0033188; GO:0046513; GO:0047493; GO:0060305; GO:2000303	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19506037}; Multi-pass membrane protein {ECO:0000269|PubMed:19506037}.
Q9W0Y8	SCN60_DROME	reviewed	Sodium channel protein 60E (Drosophila ion channel 60) (Drosophila sodium channel 1) (Protein smell-impaired 60E) (Sodium channel 2) (DmNav2)	GO:0001518; GO:0005248; GO:0005886; GO:0006814; GO:0007608; GO:0019228; GO:0022843; GO:0034765; GO:0035725; GO:0042048; GO:0086010	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:12196396}; Multi-pass membrane protein {ECO:0000250|UniProtKB:D0E0C2}.
P40421	RDGC_DROME	reviewed	Serine/threonine-protein phosphatase rdgC (EC 3.1.3.16) (Retinal degeneration C protein)	GO:0004722; GO:0004723; GO:0005506; GO:0005509; GO:0005516; GO:0005634; GO:0005737; GO:0005829; GO:0006470; GO:0007601; GO:0007602; GO:0016059; GO:0019722; GO:0030145; GO:0043052; GO:0050906	
Q7K5M0	SCARF_DROME	reviewed	Inactive serine protease scarface	GO:0005576; GO:0005615; GO:0005737; GO:0006508; GO:0007390; GO:0007391; GO:0007394; GO:0007560; GO:0045197; GO:0048802; GO:0048803; GO:0050793	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15342518, ECO:0000269|PubMed:20379222, ECO:0000269|PubMed:20530545}.
Q967D7	TUTL_DROME	reviewed	Protein turtle	GO:0005886; GO:0005887; GO:0007156; GO:0007411; GO:0007414; GO:0007629; GO:0007638; GO:0008039; GO:0008344; GO:0016199; GO:0030424; GO:0030537; GO:0045467; GO:0048814; GO:0070593; GO:0098632	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9VK34	SIRT1_DROME	reviewed	NAD-dependent histone deacetylase sirtuin-1 (EC 2.3.1.286) (Silent information regulator 2)	GO:0002039; GO:0003714; GO:0004407; GO:0005634; GO:0005637; GO:0005654; GO:0005719; GO:0005720; GO:0005737; GO:0006342; GO:0006355; GO:0006476; GO:0008134; GO:0008340; GO:0016575; GO:0016740; GO:0017136; GO:0032869; GO:0033553; GO:0033558; GO:0035065; GO:0042981; GO:0045892; GO:0046872; GO:0048149; GO:0070403; GO:0070932; GO:1901416; GO:2000253	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12086602}. Nucleus {ECO:0000269|PubMed:11281647, ECO:0000269|PubMed:12086602}. Chromosome {ECO:0000269|PubMed:12086602}.
Q9VYG2	BAP60_DROME	reviewed	Brahma-associated protein of 60 kDa (BRM-associated protein 60)	GO:0001085; GO:0003677; GO:0005634; GO:0005719; GO:0006357; GO:0007406; GO:0008134; GO:0010628; GO:0016514; GO:0016586; GO:0017022; GO:0019904; GO:0031453; GO:0035060; GO:0045893; GO:0045944; GO:0071564; GO:0071565	
Q24207	BOULE_DROME	reviewed	Protein boule	GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0006417; GO:0007275; GO:0007283; GO:0008315; GO:0008494; GO:0030154; GO:0043204; GO:0045924; GO:0045948; GO:0048137; GO:0070935	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9882490}. Cytoplasm {ECO:0000269|PubMed:9882490}. Note=Nuclear in primary spermatocytes until near the end of the meiotic prophase and cytoplasmic localization from then onward.
Q9VCA8	ANKHM_DROME	reviewed	Ankyrin repeat and KH domain-containing protein mask (Multiple ankyrin repeat single KH domain-containing protein)	GO:0001751; GO:0003723; GO:0005634; GO:0005737; GO:0005829; GO:0007005; GO:0007169; GO:0019901; GO:0030018; GO:0031430; GO:0043066; GO:0045214; GO:0060361; GO:0090210; GO:1903147	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11782402}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:26251439}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:26251439}. Note=In indirect flight muscle, more strongly associated with Z lines where it colocalizes with sls isoform A (kettin). {ECO:0000269|PubMed:26251439}.
P32870	CYA1_DROME	reviewed	Ca(2+)/calmodulin-responsive adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Protein rutabaga)	GO:0001661; GO:0004016; GO:0005516; GO:0005524; GO:0005887; GO:0006171; GO:0006979; GO:0007189; GO:0007268; GO:0007274; GO:0007528; GO:0007591; GO:0007611; GO:0007612; GO:0007613; GO:0007614; GO:0007615; GO:0007617; GO:0007619; GO:0007623; GO:0007625; GO:0008294; GO:0008306; GO:0008340; GO:0008355; GO:0009190; GO:0009408; GO:0010738; GO:0016020; GO:0019933; GO:0030431; GO:0045202; GO:0046872; GO:0048149; GO:0048675; GO:0072375; GO:0090328	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q27367	CRQ_DROME	reviewed	Protein croquemort (d-CD36)	GO:0002433; GO:0005044; GO:0005886; GO:0006909; GO:0006911; GO:0006915; GO:0006955; GO:0016021; GO:0042116; GO:0048102; GO:0050764; GO:0090382	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
O44081	DKC1_DROME	reviewed	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Nucleolar protein AT band 60B) (Protein minifly)	GO:0000495; GO:0001522; GO:0003723; GO:0005730; GO:0006364; GO:0007281; GO:0009982; GO:0031118; GO:0031120; GO:0031429; GO:0035220; GO:0042254; GO:1990481	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10087258, ECO:0000269|PubMed:9829824}.
P91943	PANG1_DROME	reviewed	Protein pangolin, isoforms A/H/I/S (dTCF)	GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0006355; GO:0006357; GO:0007367; GO:0007435; GO:0007476; GO:0007500; GO:0007507; GO:0008013; GO:0009880; GO:0010628; GO:0016055; GO:0019900; GO:0035277; GO:0043565; GO:0044212; GO:0045892; GO:0045893; GO:0045944; GO:0060070; GO:0070491; GO:0072091	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:9783586}.
P23696	PP2A_DROME	reviewed	Serine/threonine-protein phosphatase PP2A (EC 3.1.3.16) (Protein microtubule star)	GO:0000159; GO:0000226; GO:0000278; GO:0001933; GO:0004722; GO:0005654; GO:0005737; GO:0005814; GO:0005829; GO:0006470; GO:0006914; GO:0007051; GO:0007059; GO:0007098; GO:0007099; GO:0007406; GO:0007465; GO:0007623; GO:0009416; GO:0019208; GO:0035331; GO:0045879; GO:0045880; GO:0046627; GO:0046872; GO:0048190; GO:0048477; GO:0051225; GO:0051898; GO:0055059; GO:0090162; GO:0090263	
P08985	H2AV_DROME	reviewed	Histone H2A.v (H2A.F/Z) (H2A.Z)	GO:0000786; GO:0000790; GO:0003677; GO:0005634; GO:0005694; GO:0005700; GO:0005701; GO:0006281; GO:0006325; GO:0007275; GO:0035019; GO:0035861; GO:0036098; GO:0044877; GO:0046982; GO:0071168	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10801889}. Chromosome {ECO:0000269|PubMed:10801889}. Note=Widely distributed in the genome, irrespective of the transcriptional status or coding capacity of the sequence.
Q7YU24	MARF_DROME	reviewed	Transmembrane GTPase Marf (EC 3.6.5.-) (Mitochondrial assembly regulatory factor) (Mitofusin)	GO:0003924; GO:0005525; GO:0005740; GO:0006697; GO:0007005; GO:0007029; GO:0008053; GO:0008344; GO:0010636; GO:0016021; GO:0019896; GO:0031306; GO:0034389; GO:0034976; GO:0051646; GO:0070584; GO:0090140; GO:1904115	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q04787	BSH_DROME	reviewed	Brain-specific homeobox protein	GO:0000978; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0007420; GO:0043565; GO:0048663	SUBCELLULAR LOCATION: Nucleus.
Q9VTE0	BL1S2_DROME	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2)	GO:0000930; GO:0016197; GO:0031083; GO:0032418; GO:0042803; GO:0043015; GO:0099078	
Q7K566	BMCP_DROME	reviewed	Mitochondrial uncoupling protein Bmcp (Brain mitochondrial carrier protein 1) (Bmcp-1) (Mitochondrial uncoupling protein 5)	GO:0005743; GO:0007605; GO:0016021; GO:0019222; GO:0022857	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Q9I7X6	CARME_DROME	reviewed	Carnosine N-methyltransferase (EC 2.1.1.22)	GO:0005634; GO:0005829; GO:0008757; GO:0030735; GO:0035498	
O46098	BCN92_DROME	reviewed	Protein bcn92	GO:0005739; GO:0016226; GO:1990221	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:29491838}.
A1ZBR5	AKTP2_DROME	reviewed	Protein crossbronx-like		
Q94524	DYLT_DROME	reviewed	Dynein light chain Tctex-type (TCTEX-1 protein homolog)	GO:0000278; GO:0003774; GO:0005868; GO:0005874; GO:0007286; GO:0008090; GO:0008340; GO:0030286; GO:0032991; GO:0042803; GO:0045505; GO:0051959; GO:0097718; GO:1904115	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.
Q9VYV5	FUT8_DROME	reviewed	Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)	GO:0006487; GO:0008424; GO:0016021; GO:0018279; GO:0032580; GO:0033578; GO:0036071; GO:0046368; GO:0046872; GO:0046921	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Note=Membrane-bound form in trans cisternae of Golgi. {ECO:0000250}.
Q9U405	GRAU_DROME	reviewed	Transcription factor grauzone	GO:0000987; GO:0003700; GO:0005634; GO:0006357; GO:0006366; GO:0007143; GO:0007279; GO:0007343; GO:0007349; GO:0008270; GO:0045143; GO:0045944	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10683177}.
Q9VYS4	GLD2B_DROME	reviewed	Poly(A) RNA polymerase gld-2 homolog B (EC 2.7.7.19) (Protein wispy)	GO:0001556; GO:0003723; GO:0004652; GO:0005524; GO:0005737; GO:0006378; GO:0006963; GO:0007052; GO:0007056; GO:0007343; GO:0007344; GO:0008298; GO:0035044; GO:0035046; GO:0043631; GO:0046872; GO:0048477	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10747060, ECO:0000269|PubMed:18430932}.
Q9V9N1	IR40A_DROME	reviewed	Ionotropic receptor 40a	GO:0005886; GO:0007610; GO:0015276; GO:0016021; GO:0050907	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.
Q7KMJ6	NITO_DROME	reviewed	RNA-binding protein spenito	GO:0000381; GO:0000398; GO:0003723; GO:0005634; GO:0007548; GO:0010628; GO:0030154; GO:0035222; GO:0036396; GO:0048749; GO:0071011; GO:0080009; GO:0090263; GO:2000737	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18174108, ECO:0000269|PubMed:26324914, ECO:0000269|PubMed:28675155}.
P91657	OPS5_DROME	reviewed	Opsin Rh5	GO:0005887; GO:0007186; GO:0007601; GO:0007602; GO:0007605; GO:0008020; GO:0009416; GO:0009588; GO:0016021; GO:0016028; GO:0016038; GO:0018298; GO:0043052; GO:0043153; GO:0071482	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q23982	PEB2_DROME	reviewed	Ejaculatory bulb-specific protein 2 (Ejaculatory bulb-specific protein II) (PEB-meII)	GO:0005576; GO:0005615; GO:0032504; GO:0045297; GO:0045434	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q9NLA6	OAF_DROME	reviewed	Out at first protein [Cleaved into: Out at first short protein]	GO:0007275	
Q8IP68	NEMU_DROME	reviewed	Protein nemuri	GO:0005615; GO:0019730; GO:0030431; GO:0042742; GO:0045087	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:30705188}.
Q9VVE5	MSIR6_DROME	reviewed	RNA-binding protein Musashi homolog Rbp6	GO:0003723; GO:0003727; GO:0005634; GO:0005737; GO:0005844; GO:0008266; GO:0048864; GO:1990904	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q920Q6}.
Q9VJ62	NAF1_DROME	reviewed	H/ACA ribonucleoprotein complex non-core subunit NAF1	GO:0000493; GO:0001522; GO:0003723; GO:0005634; GO:0005732; GO:0006364; GO:0042254	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q9VW26	OAT_DROME	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	GO:0004587; GO:0005737; GO:0005739; GO:0005759; GO:0006591; GO:0010121; GO:0019544; GO:0030170; GO:0055129	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
Q9VWK6	PGP2L_DROME	reviewed	Post-GPI attachment to proteins factor 2-like	GO:0000139; GO:0005789; GO:0006506; GO:0016021	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9Y0I1	EAF3_DROME	reviewed	NuA4 complex subunit EAF3 homolog (Protein MRG15)	GO:0000123; GO:0000416; GO:0003682; GO:0005634; GO:0006281; GO:0006342; GO:0010628; GO:0016573; GO:0016575; GO:0030234; GO:0035064; GO:0035097; GO:0035267; GO:0043486; GO:0043967; GO:0043968; GO:0051276; GO:0051304	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9VLS9	LACB2_DROME	reviewed	Beta-lactamase-like protein 2 homolog (EC 3.-.-.-)	GO:0003727; GO:0004521; GO:0005759; GO:0046872	
P48601	PRS4_DROME	reviewed	26S proteasome regulatory subunit 4 (P26s4)	GO:0005524; GO:0005654; GO:0005829; GO:0005838; GO:0007623; GO:0008063; GO:0008540; GO:0016887; GO:0017025; GO:0036402; GO:0043161	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
A1ZA92	NOL9_DROME	reviewed	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9 homolog)	GO:0000448; GO:0005524; GO:0005634; GO:0005730; GO:0006364; GO:0051731	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.
Q9V411	NOG1_DROME	reviewed	Nucleolar GTP-binding protein 1 (Novel nucleolar protein 1)	GO:0005525; GO:0005634; GO:0005730; GO:0007049; GO:0042254; GO:0051301	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:24255106}. Note=Found in the nucleolus during interphase. {ECO:0000269|PubMed:24255106}.
Q7KLV9	PSD11_DROME	reviewed	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory complex subunit p42B) (26S proteasome regulatory subunit Rpn6)	GO:0000502; GO:0005198; GO:0005654; GO:0005829; GO:0005838; GO:0006511; GO:0007623; GO:0008063; GO:0008541; GO:0043161; GO:0043248	
Q9VMW8	MPU1_DROME	reviewed	Mannose-P-dolichol utilization defect 1 protein homolog	GO:0006486; GO:0009312; GO:0016021	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9VWV9	PORCN_DROME	reviewed	Protein-serine O-palmitoleoyltransferase porcupine (EC 2.3.1.250)	GO:0005783; GO:0006497; GO:0008104; GO:0009306; GO:0016055; GO:0016409; GO:0017147; GO:0018345; GO:0030111; GO:0030176; GO:0045234; GO:0051604; GO:0061355; GO:1990698	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11821428, ECO:0000269|PubMed:8985181}; Multi-pass membrane protein {ECO:0000269|PubMed:11821428, ECO:0000269|PubMed:8985181}.
Q95083	PSA5_DROME	reviewed	Proteasome subunit alpha type-5 (EC 3.4.25.1)	GO:0000502; GO:0004175; GO:0004298; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0007623; GO:0008063; GO:0010498; GO:0010499; GO:0019773; GO:0043161	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Q4V5R4	POLYP_DROME	reviewed	Glutamate transporter polyphemus	GO:0003333; GO:0005615; GO:0005886; GO:0006909; GO:0015171; GO:0016021; GO:0032504; GO:0042742	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24210616}; Multi-pass membrane protein {ECO:0000255}.
Q9VAJ4	OB99A_DROME	reviewed	General odorant-binding protein 99a	GO:0005549; GO:0005576; GO:0007606; GO:0007608; GO:0012505; GO:0019236; GO:0042048	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
P82982	OR65A_DROME	reviewed	Odorant receptor 65a	GO:0004984; GO:0005549; GO:0005886; GO:0007165; GO:0016021; GO:0032590; GO:0050911	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P50534	MSL2_DROME	reviewed	E3 ubiquitin-protein ligase msl-2 (EC 2.3.2.-) (E3 ubiquitin-protein transferase msl-2) (Protein male-specific lethal-2)	GO:0000209; GO:0000228; GO:0000805; GO:0003677; GO:0003682; GO:0007549; GO:0008134; GO:0009047; GO:0016456; GO:0016457; GO:0016567; GO:0043984; GO:0046536; GO:0046872; GO:0051865; GO:0061630; GO:0072487	SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Msl-1 and msl-2 colocalize to many sites on the male X chromosome.
P36951	HYI_DROME	reviewed	Putative hydroxypyruvate isomerase (EC 5.3.1.22) (GIP-like protein) (Transient receptor potential locus C protein)	GO:0005576; GO:0008903; GO:0046487	
Q9VEX5	INT13_DROME	reviewed	Protein asunder (Cell cycle regulator Mat89Bb) (Integrator complex subunit 13) (Maternal transcript 89Bb) (Set apart in position or space protein)	GO:0005634; GO:0005737; GO:0007283; GO:0007346; GO:0030317; GO:0032039; GO:0034472; GO:0046843; GO:0048471; GO:0051301; GO:0051321; GO:0051642; GO:0051663; GO:0060814; GO:0080154	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19357193, ECO:0000269|PubMed:23097424}. Cytoplasm {ECO:0000269|PubMed:19357193, ECO:0000269|PubMed:23097424, ECO:0000269|PubMed:9799434}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19357193}. Note=Colocalizes with dynein-dynactin on the nuclear surface at the meiotic G2/prophase transition in primary spermatocytes (PubMed:19357193). Nuclear location is required for recruitment of dynein motors to nuclear envelope at G2/M (PubMed:23904267). {ECO:0000269|PubMed:19357193, ECO:0000269|PubMed:23904267}.
Q8IH24	MED31_DROME	reviewed	Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Protein SOH1) (dSOH1)	GO:0003713; GO:0005634; GO:0006357; GO:0006367; GO:0008595; GO:0016592; GO:0070847	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9W422	JOSL_DROME	reviewed	Josephin-like protein (EC 3.4.19.12)	GO:0004843; GO:0016579	
P14003	HAIR_DROME	reviewed	Protein hairy	GO:0000122; GO:0000902; GO:0000977; GO:0000978; GO:0001227; GO:0001666; GO:0003677; GO:0005634; GO:0007366; GO:0007399; GO:0007424; GO:0007431; GO:0007435; GO:0008134; GO:0009952; GO:0030154; GO:0031323; GO:0035239; GO:0035289; GO:0035290; GO:0045892; GO:0046983; GO:0050767; GO:0061024; GO:0070888	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00380, ECO:0000255|PROSITE-ProRule:PRU00981}.
Q9VLS1	KPBB_DROME	reviewed	Probable phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	GO:0003824; GO:0005516; GO:0005886; GO:0005964; GO:0005977; GO:0006468	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.
P81915	OR33B_DROME	reviewed	Odorant receptor 33b	GO:0004888; GO:0004984; GO:0005549; GO:0005886; GO:0007165; GO:0007608; GO:0016021; GO:0032590; GO:0050911	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P81921	OR47A_DROME	reviewed	Odorant receptor 47a	GO:0004888; GO:0004984; GO:0005549; GO:0005886; GO:0007165; GO:0007608; GO:0016021; GO:0030425; GO:0032590; GO:0050911	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
O61613	NMT_DROME	reviewed	Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase) (dNMT)	GO:0004379; GO:0005737; GO:0006499; GO:0007391; GO:0016020; GO:0018008	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:9044045}; Peripheral membrane protein {ECO:0000269|PubMed:9044045}.
