Entry	Entry name	Status	Protein names	Gene ontology IDs	Subcellular location [CC]
P27351	AP2B_YEAST	reviewed	AP-2 complex subunit beta (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Clathrin assembly protein large beta chain)	GO:0005935; GO:0006886; GO:0006897; GO:0016192; GO:0030122; GO:0030139; GO:0030276	SUBCELLULAR LOCATION: Cell membrane. Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Note=Component of the coat surrounding the cytoplasmic face of coated vesicles in the plasma membrane.
P46962	CTK2_YEAST	reviewed	CTD kinase subunit beta (CTDK-I subunit beta) (CTD kinase 38 kDa subunit) (CTD kinase subunit 2)	GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0006397; GO:0006468; GO:0006974; GO:0008024; GO:0016538; GO:0032786; GO:0045903; GO:0045943; GO:0061575; GO:0070692	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15520468}.
Q03957	CTK1_YEAST	reviewed	CTD kinase subunit alpha (CTDK-I subunit alpha) (EC 2.7.11.23) (CTD kinase 58 kDa subunit) (CTD kinase subunit 1)	GO:0000307; GO:0000790; GO:0004672; GO:0004693; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0006368; GO:0006413; GO:0006468; GO:0006974; GO:0008024; GO:0008134; GO:0008353; GO:0018105; GO:0030332; GO:0031124; GO:0032786; GO:0032968; GO:0044212; GO:0045903; GO:0045943; GO:0045944; GO:0070692; GO:0070816	SUBCELLULAR LOCATION: Nucleus, nucleolus. Cytoplasm.
Q12734	CSR2_YEAST	reviewed	Transcription factor CSR2 (CHS5 SPA2 rescue protein 2)	GO:0005634; GO:0005829; GO:0006357; GO:0031505; GO:0031625; GO:0070086	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12444972}. Nucleus {ECO:0000269|PubMed:12444972}.
P07246	ADH3_YEAST	reviewed	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (YADH-3)	GO:0000947; GO:0004022; GO:0005737; GO:0005739; GO:0005759; GO:0006067; GO:0006116; GO:0008270	SUBCELLULAR LOCATION: Mitochondrion matrix.
P07248	ADR1_YEAST	reviewed	Regulatory protein ADR1	GO:0000978; GO:0000981; GO:0001093; GO:0001094; GO:0001102; GO:0003713; GO:0005634; GO:0005737; GO:0005829; GO:0006325; GO:0007031; GO:0031936; GO:0043565; GO:0046872; GO:0061410; GO:0061424; GO:0061425; GO:0061429; GO:0097235	SUBCELLULAR LOCATION: Nucleus.
P38995	ATU2_YEAST	reviewed	Copper-transporting ATPase (EC 7.2.2.8) (Cu(2+)-ATPase)	GO:0005507; GO:0005524; GO:0005794; GO:0006825; GO:0006879; GO:0012510; GO:0016021; GO:0019829; GO:0043682; GO:0055085; GO:0060003	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein.
P08679	CISY2_YEAST	reviewed	Citrate synthase, peroxisomal (EC 2.3.3.16)	GO:0004108; GO:0005737; GO:0005739; GO:0005759; GO:0005777; GO:0005975; GO:0006097; GO:0006099; GO:0006101; GO:0006537	SUBCELLULAR LOCATION: Peroxisome.
P03876	AI2M_YEAST	reviewed	Putative COX1/OXI3 intron 2 protein	GO:0003964; GO:0004129; GO:0005739; GO:0006314; GO:0006315; GO:0009060; GO:0016021; GO:0020037; GO:0090615	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Q01976	ADPP_YEAST	reviewed	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006753; GO:0019693; GO:0046872; GO:0047631	
Q06350	CHI2_YEAST	reviewed	Sporulation-specific chitinase 2 (EC 3.2.1.14)	GO:0000272; GO:0004568; GO:0005576; GO:0005737; GO:0006032; GO:0008061; GO:0030435	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
P40019	CHZ1_YEAST	reviewed	Histone H2A.Z-specific chaperone CHZ1	GO:0005634; GO:0006338; GO:0042393	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:17289584}.
P00163	CYB_YEAST	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	GO:0005739; GO:0005750; GO:0006122; GO:0008121; GO:0009060; GO:0020037; GO:0031305; GO:0045153; GO:0046872	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:8031140}; Multi-pass membrane protein {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:8031140}.
P24814	GRR1_YEAST	reviewed	SCF E3 ubiquitin ligase complex F-box protein GRR1 (F-box and leucine-rich repeat protein GRR1) (F-box/LRR-repeat protein GRR1)	GO:0000142; GO:0000209; GO:0000751; GO:0005634; GO:0005737; GO:0006006; GO:0006974; GO:0007124; GO:0016020; GO:0016567; GO:0019005; GO:0030674; GO:0031146; GO:0071406	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:1922034}. Note=Associated with the particulate fraction. Probably forms a complex by protein-protein interactions via its leucine-rich segment.
P07267	CARP_YEAST	reviewed	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	GO:0000324; GO:0004190; GO:0005739; GO:0005783; GO:0006508; GO:0006624; GO:0006914; GO:0008233; GO:0009267; GO:0016236; GO:0016237; GO:0030163; GO:0032258; GO:0032991; GO:0051603; GO:0070492; GO:0097718	SUBCELLULAR LOCATION: Vacuole. Note=Lysosome-like vacuoles.
P39010	AKR1_YEAST	reviewed	Palmitoyltransferase AKR1 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR1)	GO:0000139; GO:0005794; GO:0006612; GO:0016021; GO:0016409; GO:0018345; GO:0019706; GO:0030100; GO:0031683; GO:0031901; GO:0090029	SUBCELLULAR LOCATION: Early endosome membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.
P38328	ARPC1_YEAST	reviewed	Actin-related protein 2/3 complex subunit 1 (Arp2/3 complex 41 kDa subunit) (p41-ARC)	GO:0005885; GO:0007015; GO:0030479; GO:0034314; GO:0043130; GO:0045010; GO:0051015	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, actin patch.
P06787	CALM_YEAST	reviewed	Calmodulin (CaM)	GO:0000131; GO:0000742; GO:0005509; GO:0005823; GO:0005933; GO:0005934; GO:0005935; GO:0006606; GO:0006661; GO:0006897; GO:0006898; GO:0007010; GO:0007114; GO:0016237; GO:0019722; GO:0042144; GO:0043332; GO:0048306; GO:0051019; GO:0051300; GO:1903525	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:8247006}.
P36154	AIM29_YEAST	reviewed	Altered inheritance rate of mitochondria protein 29	GO:0005737	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11914276}.
Q03862	ARX1_YEAST	reviewed	Probable metalloprotease ARX1 (EC 3.-.-.-) (Associated with ribosomal export complex protein 1)	GO:0000055; GO:0003676; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0008237; GO:0030687; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.
P27637	BUD14_YEAST	reviewed	Bud site selection protein 14	GO:0000131; GO:0005634; GO:0005737; GO:0005934; GO:0005935; GO:0006355; GO:0007010; GO:0007049; GO:0008360; GO:0019888; GO:0030837; GO:0032465; GO:0032880; GO:0051301; GO:0060627; GO:0090337; GO:1990615	
Q04347	BUD22_YEAST	reviewed	Bud site selection protein 22	GO:0005634; GO:0005730; GO:0030490; GO:0030686; GO:0042274	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11452010, ECO:0000269|PubMed:14562095}.
O94143	BUD19_YEAST	reviewed	Putative uncharacterized protein BUD19	GO:0000282	
P38910	CH10_YEAST	reviewed	10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)	GO:0005524; GO:0005739; GO:0005759; GO:0006457; GO:0042026; GO:0045041; GO:0046872; GO:0051082; GO:0051085; GO:0051087; GO:0051131	SUBCELLULAR LOCATION: Mitochondrion matrix.
P08019	AMYG_YEAST	reviewed	Glucoamylase, intracellular sporulation-specific (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)	GO:0000324; GO:0004339; GO:0005628; GO:0005980; GO:0030435	
P22580	AMDY_YEAST	reviewed	Probable amidase (EC 3.5.1.4)	GO:0004040; GO:0043864	
P38041	BOB1_YEAST	reviewed	Protein BOB1 (BEM1-binding protein) (Growth inhibitory protein 7)	GO:0000920; GO:0005543; GO:0005737; GO:0005886; GO:0005933; GO:0005935; GO:0007118; GO:0030427; GO:0043332	
P38013	AHP1_YEAST	reviewed	Peroxiredoxin AHP1 (Prx) (EC 1.11.1.15) (Alkyl hydroperoxide reductase) (AHPC1) (Cytoplasmic thiol peroxidase 3) (cTPx 3) (Thiol-specific antioxidant II) (TSA II) (Thioredoxin peroxidase type II) (TPx type II)	GO:0005737; GO:0005739; GO:0005777; GO:0005829; GO:0005886; GO:0008379; GO:0010038; GO:0034599; GO:0042744; GO:0045454	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10681558}.
P16892	FUS3_YEAST	reviewed	Mitogen-activated protein kinase FUS3 (MAP kinase FUS3) (EC 2.7.11.24)	GO:0000750; GO:0001403; GO:0004672; GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0006468; GO:0007050; GO:0010468; GO:0010494; GO:0010526; GO:0035556; GO:0042597; GO:0042802; GO:0043332; GO:0043409; GO:0046777; GO:0046827; GO:0051301; GO:0071310; GO:0071470; GO:0071507	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11781566}. Cytoplasm {ECO:0000269|PubMed:11781566}. Periplasm {ECO:0000269|PubMed:11781566}. Note=FUS3 shuttles rapidly between the cytoplasm and the nucleus independent of pheromone treatment or FUS3 phosphorylation level. Activated FUS3 translocates rapidly to the nucleus.
Q12186	BBP_YEAST	reviewed	Branchpoint-bridging protein (Mud synthetic-lethal 5 protein) (Splicing factor 1) (Zinc finger protein BBP)	GO:0000243; GO:0000398; GO:0003723; GO:0005634; GO:0005829; GO:0008270; GO:0045131	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P40074	AVT6_YEAST	reviewed	Vacuolar amino acid transporter 6	GO:0000324; GO:0000329; GO:0003333; GO:0005290; GO:0005302; GO:0005313; GO:0015171; GO:0015183; GO:0015189; GO:0015194; GO:0016021; GO:0032974; GO:0055085; GO:0061459	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:11274162}; Multi-pass membrane protein {ECO:0000269|PubMed:11274162}.
P15703	BGL2_YEAST	reviewed	Glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase) (GP29) (Soluble cell wall protein 9)	GO:0000324; GO:0004338; GO:0005576; GO:0005975; GO:0008061; GO:0009277; GO:0009986; GO:0031505; GO:0042124; GO:0042973	SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:9748433}. Note=Tightly bound to cell wall.
P40994	ARF3_YEAST	reviewed	ADP-ribosylation factor 3	GO:0000282; GO:0003729; GO:0003924; GO:0005525; GO:0005737; GO:0005794; GO:0005829; GO:0005934; GO:0005935; GO:0006886; GO:0006897; GO:0010513; GO:0016192; GO:0030234; GO:0036267; GO:0051017; GO:0051666	SUBCELLULAR LOCATION: Golgi apparatus.
P38221	CDS1_YEAST	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	GO:0004605; GO:0005783; GO:0005789; GO:0006658; GO:0016021; GO:0016024; GO:0046488; GO:0070319	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Cytoplasmic vesicle, secretory vesicle. Note=Exclusively present in the ER, and not in mitochondria. Also associated with post-Golgi apparatus secretory vesicles destined for the plasma membrane.
Q08032	CDC45_YEAST	reviewed	Cell division control protein 45	GO:0000727; GO:0003682; GO:0003688; GO:0003697; GO:0005634; GO:0005656; GO:0006267; GO:0006270; GO:0031261; GO:0031298; GO:0031938; GO:0043138; GO:0043596; GO:0071162; GO:1900087; GO:1902977	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8901577}.
P09440	C1TM_YEAST	reviewed	C-1-tetrahydrofolate synthase, mitochondrial (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	GO:0000105; GO:0004329; GO:0004477; GO:0004488; GO:0005524; GO:0005737; GO:0005739; GO:0006139; GO:0006164; GO:0009086; GO:0009113; GO:0009257; GO:0035999; GO:0046656	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:3528153}.
Q12291	BMT6_YEAST	reviewed	25S rRNA (uridine(2843)-N(3))-methyltransferase (EC 2.1.1.312) (Base methyltransferase of 25S RNA 6)	GO:0005634; GO:0005737; GO:0008757; GO:0070042; GO:0070475	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:24335083}. Nucleus {ECO:0000269|PubMed:24335083}. Note=Localizes predominantly to the cytoplasm, with minor localizations in the nucleus (PubMed:24335083). Associates with pre-60S ribosomal particles (PubMed:24335083). {ECO:0000269|PubMed:24335083}.
P21595	CP56_YEAST	reviewed	Cytochrome P450-DIT2 (EC 1.14.14.-) (Cytochrome P450 56)	GO:0003959; GO:0004497; GO:0005506; GO:0005783; GO:0016491; GO:0016705; GO:0020037; GO:0030476	
P53867	ATG4_YEAST	reviewed	Cysteine protease ATG4 (EC 3.4.22.-) (Autophagy-related protein 4)	GO:0000045; GO:0000422; GO:0005634; GO:0005737; GO:0005829; GO:0006501; GO:0006508; GO:0006612; GO:0006914; GO:0019786; GO:0032258; GO:0034727; GO:0044805; GO:0051697	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11149920}. Nucleus {ECO:0000269|PubMed:14562095}.
P34756	FAB1_YEAST	reviewed	1-phosphatidylinositol 3-phosphate 5-kinase FAB1 (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (Type III PIP kinase) (PIPkin-III)	GO:0000285; GO:0000329; GO:0005524; GO:0005739; GO:0010008; GO:0032266; GO:0046854; GO:0046872; GO:0070772	SUBCELLULAR LOCATION: Vacuole membrane; Peripheral membrane protein. Endosome membrane; Peripheral membrane protein. Note=Localization to the vacuole membrane requires VAC14 and FIG4.
Q07897	CMS1_YEAST	reviewed	Protein CMS1 (Complementation of MCM10 suppressor protein 1)	GO:0005634; GO:0005737; GO:0030686	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.
P18238	ADT3_YEAST	reviewed	ADP,ATP carrier protein 3 (ADP/ATP translocase 3) (Adenine nucleotide translocator 3) (ANT 3)	GO:0005471; GO:0005739; GO:0005743; GO:0009061; GO:0015886; GO:0016021; GO:0042802; GO:0055085	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
P38246	ECM8_YEAST	reviewed	Protein ECM8 (Extracellular mutant protein 8)	GO:0071555	
Q03214	ECM5_YEAST	reviewed	Protein ECM5 (Extracellular matrix protein 5)	GO:0003677; GO:0005634; GO:0005737; GO:0006338; GO:0032452; GO:0034599; GO:0034647; GO:0035097; GO:0046872; GO:0070211; GO:0071555	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000255|PROSITE-ProRule:PRU00537, ECO:0000269|PubMed:14562095}.
P36041	EAP1_YEAST	reviewed	Protein EAP1 (eIF4E-associated protein 1)	GO:0000290; GO:0003729; GO:0005524; GO:0005844; GO:0005845; GO:0006402; GO:0008190; GO:0010494; GO:0017148; GO:0040008	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}.
P38332	DPH7_YEAST	reviewed	Diphthine methyltransferase (EC 3.1.1.97) (Diphthamide biosynthesis protein 7) (Endosomal recycling protein 1) (Regulator of rDNA transcription protein 2)	GO:0005737; GO:0005768; GO:0005829; GO:0017183; GO:0032456; GO:0051723; GO:0061685	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21880895}. Endosome {ECO:0000269|PubMed:21880895}. Note=Recruited to endosomes in cells in which increased recycling of internalized plasma membrane proteins occurs.
P38682	GLO3_YEAST	reviewed	ADP-ribosylation factor GTPase-activating protein GLO3 (ARF GAP GLO3)	GO:0000139; GO:0005096; GO:0005793; GO:0005802; GO:0006888; GO:0006890; GO:0015031; GO:0030126; GO:0030137; GO:0046872; GO:0048205	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:14562095}.
Q01217	ARG56_YEAST	reviewed	Protein ARG5,6, mitochondrial [Cleaved into: N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase); Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)]	GO:0003942; GO:0003991; GO:0004042; GO:0005524; GO:0005739; GO:0005759; GO:0006355; GO:0006526; GO:0006592; GO:0034618; GO:0046983; GO:0051287	SUBCELLULAR LOCATION: Mitochondrion.
P32459	ALLA_YEAST	reviewed	Ureidoglycolate lyase (EC 4.3.2.3) (Degradation of allantoin protein 3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)	GO:0000256; GO:0004848; GO:0006144; GO:0016020; GO:0050385	
P53959	COG6_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Complexed with DOR1 protein 2) (Component of oligomeric Golgi complex 6) (Protein SEC37)	GO:0000139; GO:0006891; GO:0015031; GO:0017119; GO:0032258	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.
